Country,Export Value,Import Value (D),Trade Balance,Import Value,FlagBase64
Bermuda,307 ,-2853 ,-2545 ,2853 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0yNTYgMGgyNTZ2NTEySDBWMjU2eiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDBoMzMuNGwzMS44IDE2LjQgMzUtMTYuNEgyNTZ2MTMzLjZsLTkuMyAzMy43IDkuMyA0MS41VjI1NmgtNDcuMmwtMzkuMy03LTM1LjkgNy4xTDAgMjU2VjEwMC4ybDE1LjQtMzQuNUwwIDMzLjR6Ii8+PHBhdGggZmlsbD0iIzQ5NmUyZCIgZD0iTTQ0NS4yIDI1Ni4xem0tMTU1LjggMHoiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJtMjY3IDIzNS41LTEwMi0xMDJoLTMxLjRMMjY3IDI2N3oiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJNMzMuNCAwdjMzLjRIMHY2Ni44aDMzLjR2MTcwLjZoNjYuOFYxMDAuMmgxNzAuMlYzMy40SDEwMC4yVjB6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTE4MC44IDEzMy42SDI1NnY3NS4yem0tNDcuMiA0Ny4ydjc1LjNsNzUuMi0uMXoiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJNMjg5LjQgMTMzLjZWMjU2YzAgNTkuNiAxNTUuOCA1OS42IDE1NS44IDBWMTMzLjZ6Ii8+PHBhdGggZmlsbD0iIzZkYTU0NCIgZD0iTTI4OS40IDI1NmMwIDU5LjYgNzcuOSA3OCA3Ny45IDc4czc4LTE4LjQgNzgtNzhoLTE1NnoiLz48cGF0aCBmaWxsPSIjYTIwMDFkIiBkPSJtMzY3LjMgMjA3LTM2LjIgMTUuNlYyNTZsMzYuMiAyMi4zIDM2LjItMjIuM3YtMzMuNHoiLz48cGF0aCBmaWxsPSIjMzM4YWYzIiBkPSJNMzMxLjEgMTg5LjJoNzIuNHYzMy40SDMzMXoiLz48L2c+PC9zdmc+"
Antigua and Barbuda,204 ,-2712 ,-2508 ,2712 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik0wIC40aDUxMmwtMzQgMjI5SDM2eiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Im0zNjcuMyAyMDUuMy0xMDkuNyAxOS40LTExMi45LTE5LjQgNDUuNS0yMS4zLTI0LjItNDQgNDkuMyA5LjQgNi4zLTQ5LjkgMzQuNCAzNi43IDM0LjQtMzYuNiA2LjMgNTBMMzQ2IDE0MGwtMjQuMiA0NHoiLz48cGF0aCBmaWxsPSIjMDA1MmI0IiBkPSJNMjUuNiAyMDUuM2g0NjYuOEwyNTcgNDM5LjV6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTM0IDMwNy40aDQ0NkwyNTYgNTExLjZ6Ii8+PHBhdGggZmlsbD0iI2EyMDAxZCIgZD0ibTAgNTExLjYgMjU2IC40TDAgLjR6bTI1NiAuNCAyNTYtLjRWMHoiLz48L2c+PC9zdmc+"
Cape Verde,195 ,-1785 ,-1590 ,1785 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0wIDBoNTEydjI1Ni4ybC00MS45IDY0LjMgNDEuOSA2My43VjUxMkgwVjM4NC4yTDQxLjMgMzIwIDAgMjU2LjJ6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTAgMjU2LjJoNTEydjQyLjlsLTE1LjcgMjEuNiAxNS43IDIxdjQyLjVIMHYtNDIuNWwxNS4xLTIxLjVMMCAyOTl6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTAgMjk5LjFoNTEydjQyLjZIMHoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJtMTgyLjggMTkwLjQgNS4yIDE2LjRoMTcuMWwtMTMuOCAxMCA1LjMgMTYuMy0xMy44LTEwLTE0IDEwIDUuNC0xNi4zLTEzLjktMTBoMTcuMXptMCAyMTMuM0wxODggNDIwaDE3LjFsLTEzLjggMTAgNS4zIDE2LjItMTMuOC0xMC0xNCAxMEwxNzQgNDMwbC0xNC0xMGgxNy4yem0tOTkuMi03Mi4xIDUuMiAxNi4yaDE3LjFMOTIuMSAzNThsNS4yIDE2LjItMTMuNy0xMC0xNCAxMEw3NSAzNThsLTE0LTEwLjFoMTcuMnptMzcuOS0xMTkuOCA1IDE2aDE3LjJsLTEzLjggMTAuMyA1LjIgMTYuMi0xMy43LTEwLTE0IDEwIDUuNC0xNi4zLTE0LTEwLjFIMTE2em0tNjAuNCA2N2gxN2w1LjUtMTYuMiA1LjIgMTYuMmgxNy4xTDkyLjEgMjg5bDUuMiAxNi40TDgzLjYgMjk1bC0xNCAxMC4zIDUuNC0xNi40em00Ni41IDE0MyA1LjMtMTYuMkw5OSAzOTUuNGgxNy4xbDUuNC0xNi4yIDUuMiAxNi4zaDE3LjFMMTMwIDQwNS42bDUuMyAxNi4yLTEzLjgtMTB6TTI4MiAzMzEuNmwtNS40IDE2LjJoLTE3bDEzLjggMTAuMi01LjMgMTYuMiAxMy45LTEwIDEzLjggMTAtNS4yLTE2LjMgMTMuNy0xMC4xaC0xN3ptLTM4LTExOS44LTUuMyAxNi4yaC0xNy4xbDE0IDEwLjItNS40IDE2LjIgMTMuOS0xMCAxMy44IDEwLTUuMy0xNi4zIDEzLjgtMTAuMWgtMTd6bTYwLjMgNjdoLTE3bC01LjMtMTYuMi01LjQgMTYuMmgtMTdsMTMuOCAxMC4xLTUuMyAxNi40TDI4MiAyOTVsMTMuOCAxMC4zLTUuMi0xNi40em0tNDYuNCAxNDMtNS4zLTE2LjIgMTMuOC0xMC4yaC0xN2wtNS4zLTE2LjItNS40IDE2LjNoLTE3LjFsMTQgMTAuMS01LjQgMTYuMiAxMy45LTEweiIvPjwvZz48L3N2Zz4="
Kiribati,185 ,-300 ,-115 ,300 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEybC0uMSAyMzQuOC0yNTQuNyAyNjAuOUwuMyAyMzQuOHoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJtMzQ1IDIzOC0zNi4zIDE3LjIgMTkuMyAzNS4yLTM5LjUtNy41LTUgMzkuOS0yNy41LTI5LjQtMjcuNSAyOS40LTUtNDAtMzkuNSA3LjYgMTkuMy0zNS4yTDE2NyAyMzhsMzYuMy0xNy4xLTE5LjMtMzUuMyAzOS41IDcuNiA1LTQwIDI3LjUgMjkuNCAyNy41LTI5LjMgNSAzOS45IDM5LjUtNy42LTE5LjMgMzUuM3pNMzIyLjggODMuNmgtNTAuMWExNi43IDE2LjcgMCAwIDAtMzMuNCAwaC01MGMwIDkuMiA4IDE2LjcgMTcuMiAxNi43aC0uNmMwIDkuMiA3LjUgMTYuNyAxNi43IDE2LjcgMCA5LjIgNy41IDE2LjcgMTYuNyAxNi43aDMzLjRjOS4yIDAgMTYuNy03LjUgMTYuNy0xNi43IDkuMiAwIDE2LjctNy41IDE2LjctMTYuN2gtLjZjOS4zIDAgMTcuMy03LjUgMTcuMy0xNi43eiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik04NS4zIDIzNC44Yy0yMS4zIDAtMjEuMyAxOS41LTQyLjcgMTkuNS0yMS4yIDAtMjEuMy0xOS4zLTQyLjMtMTkuNXYzNC4zbDEyLjMgMTguMkwuMyAzMDMuNFYzMzZsMTIuOCAxOC4yTC4zIDM3MC4zdjMyLjRsMzkuMSA0OS40IDQ0MS4yIDMgMzEuMy01Mi40di0zMi40bC04LjItMTYuNCA4LjItMTcuOXYtMzIuNmwtMTAuMy0xNCAxMC4zLTIwLjN2LTM0LjNjLTIxLjIgMC0yMS4yIDE5LjUtNDIuNSAxOS41cy0yMS40LTE5LjUtNDIuNy0xOS41Yy0yMS4zIDAtMjEuMyAxOS41LTQyLjcgMTkuNS0yMS4zIDAtMjEuMy0xOS41LTQyLjYtMTkuNS0yMS40IDAtMjEuNCAxOS41LTQyLjcgMTkuNS0yMS4zIDAtMjEuMy0xOS41LTQyLjctMTkuNS0yMS40IDAtMjEuNCAxOS41LTQyLjcgMTkuNS0yMS4zIDAtMjEuMy0xOS41LTQyLjctMTkuNS0yMS4zIDAtMjEuMyAxOS41LTQyLjYgMTkuNXMtMjEuNC0xOS41LTQyLjctMTkuNXoiLz48cGF0aCBmaWxsPSIjMDA1MmI0IiBkPSJNODUuMyAyNjkuMWMtMjEuMyAwLTIxLjMgMTkuNS00Mi43IDE5LjUtMjEuMiAwLTIxLjMtMTkuMy00Mi4zLTE5LjV2MzQuM2MyMSAuMiAyMS4xIDE5LjUgNDIuMyAxOS41IDIxLjQgMCAyMS40LTE5LjUgNDIuNy0xOS41IDIxLjMgMCAyMS4zIDE5LjUgNDIuNyAxOS41IDIxLjQgMCAyMS4zLTE5LjUgNDIuNi0xOS41IDIxLjQgMCAyMS40IDE5LjUgNDIuNyAxOS41IDIxLjMgMCAyMS4zLTE5LjUgNDIuNy0xOS41IDIxLjQgMCAyMS40IDE5LjUgNDIuNyAxOS41IDIxLjMgMCAyMS4zLTE5LjUgNDIuNy0xOS41IDIxLjMgMCAyMS4zIDE5LjUgNDIuNiAxOS41IDIxLjQgMCAyMS40LTE5LjUgNDIuNy0xOS41IDIxLjMgMCAyMS4zIDE5LjUgNDIuNyAxOS41IDIxLjQgMCAyMS4zLTE5LjQgNDIuNS0xOS41di0zNC4zYy0yMS4yIDAtMjEuMiAxOS41LTQyLjUgMTkuNXMtMjEuNC0xOS41LTQyLjctMTkuNWMtMjEuMyAwLTIxLjMgMTkuNS00Mi43IDE5LjUtMjEuMyAwLTIxLjMtMTkuNS00Mi42LTE5LjUtMjEuNCAwLTIxLjQgMTkuNS00Mi43IDE5LjUtMjEuMyAwLTIxLjMtMTkuNS00Mi43LTE5LjUtMjEuNCAwLTIxLjQgMTkuNS00Mi43IDE5LjUtMjEuMyAwLTIxLjMtMTkuNS00Mi43LTE5LjUtMjEuMyAwLTIxLjMgMTkuNS00Mi42IDE5LjVzLTIxLjQtMTkuNS00Mi43LTE5LjV6bTAgNjYuOUM2NCAzMzYgNjQgMzU1LjUgNDIuNiAzNTUuNWMtMjEuMiAwLTIxLjMtMTkuMy00Mi4zLTE5LjV2MzQuM2MyMSAuMiAyMS4xIDE5LjUgNDIuMyAxOS41IDIxLjQgMCAyMS40LTE5LjUgNDIuNy0xOS41IDIxLjMgMCAyMS4zIDE5LjUgNDIuNyAxOS41IDIxLjQgMCAyMS4zLTE5LjUgNDIuNi0xOS41IDIxLjQgMCAyMS40IDE5LjUgNDIuNyAxOS41IDIxLjMgMCAyMS4zLTE5LjUgNDIuNy0xOS41IDIxLjQgMCAyMS40IDE5LjUgNDIuNyAxOS41IDIxLjMgMCAyMS4zLTE5LjUgNDIuNy0xOS41IDIxLjMgMCAyMS4zIDE5LjUgNDIuNiAxOS41IDIxLjQgMCAyMS40LTE5LjUgNDIuNy0xOS41IDIxLjMgMCAyMS4zIDE5LjUgNDIuNyAxOS41IDIxLjQgMCAyMS4zLTE5LjQgNDIuNS0xOS41VjMzNmMtMjEuMiAwLTIxLjIgMTkuNS00Mi41IDE5LjVTNDQ4IDMzNiA0MjYuNyAzMzZjLTIxLjMgMC0yMS4zIDE5LjUtNDIuNyAxOS41LTIxLjMgMC0yMS4zLTE5LjUtNDIuNi0xOS41LTIxLjQgMC0yMS40IDE5LjUtNDIuNyAxOS41LTIxLjMgMC0yMS4zLTE5LjUtNDIuNy0xOS41LTIxLjQgMC0yMS40IDE5LjUtNDIuNyAxOS41LTIxLjMgMC0yMS4zLTE5LjUtNDIuNy0xOS41LTIxLjMgMC0yMS4zIDE5LjUtNDIuNiAxOS41UzEwNi42IDMzNiA4NS4zIDMzNnptMCA2Ni43Yy0yMS4zIDAtMjEuMyAxOS41LTQyLjcgMTkuNS0yMS4yIDAtMjEuMy0xOS4zLTQyLjMtMTkuNUwwIDUxMmg1MTJsLS4xLTEwOS4zYy0yMS4yIDAtMjEuMiAxOS41LTQyLjUgMTkuNXMtMjEuNC0xOS41LTQyLjctMTkuNWMtMjEuMyAwLTIxLjMgMTkuNS00Mi43IDE5LjUtMjEuMyAwLTIxLjMtMTkuNS00Mi42LTE5LjUtMjEuNCAwLTIxLjQgMTkuNS00Mi43IDE5LjUtMjEuMyAwLTIxLjMtMTkuNS00Mi43LTE5LjUtMjEuNCAwLTIxLjQgMTkuNS00Mi43IDE5LjUtMjEuMyAwLTIxLjMtMTkuNS00Mi43LTE5LjUtMjEuMyAwLTIxLjMgMTkuNS00Mi42IDE5LjVzLTIxLjQtMTkuNS00Mi43LTE5LjV6Ii8+PC9nPjwvc3ZnPg=="
Comoros,170 ,-791 ,-622 ,791 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0xMjQuNCAxNDkuNyA1MTIgMTMyLjhWMEgweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0xMTIuNSAxMzIuOEg1MTJ2MTIyLjRsLTI5NC4yIDE2LjZ6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTUxMiAyNTUuM0gyMzQuNWwtMTM2IDEzOS44TDUxMiAzNzcuN1YyNTZ6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTEwOC4yIDM3Ny43IDAgNTExLjJsNTEyIC44VjM3Ny43eiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0uOCAwIDAgNTExLjJsMjU2LTI1NnoiLz48ZyBmaWxsPSIjZWVlIj48cGF0aCBkPSJNNjcuNSAyNTUuM2E3OCA3OCAwIDAgMSA2MS4yLTc2IDc4LjIgNzguMiAwIDAgMC0xNi43LTIgNzggNzggMCAxIDAgMTYuNyAxNTQgNzggNzggMCAwIDEtNjEuMi03NnoiLz48cGF0aCBkPSJtMTI3LjkgMTg4LjUgNC4xIDEyLjdoMTMuNGwtMTAuOCA4IDQuMSAxMi43LTEwLjgtOC0xMC45IDggNC4yLTEyLjgtMTAuOS03LjloMTMuNHptMCAzMy40IDQuMSAxMi43aDEzLjRsLTEwLjggOCA0LjEgMTIuNy0xMC44LTgtMTAuOSA4IDQuMi0xMi44LTEwLjktNy45aDEzLjR6bTAgMzMuNEwxMzIgMjY4aDEzLjRsLTEwLjggOCA0LjEgMTIuNi0xMC44LTcuOC0xMC45IDcuOCA0LjItMTIuNy0xMC45LTcuOWgxMy40em0wIDMzLjMgNC4xIDEyLjhoMTMuNGwtMTAuOCA4IDQuMSAxMi42LTEwLjgtNy44TDExNyAzMjJsNC4yLTEyLjctMTAuOS03LjloMTMuNHoiLz48L2c+PC9nPjwvc3ZnPg=="
Saint Vincent and the Grenadines,132 ,-845 ,-713 ,845 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0zNzguNSAwSDEzMy43bC0yMi4zIDI1NiAyMi4zIDI1NmgyNDQuOGwyMi4zLTI1NnoiLz48cGF0aCBmaWxsPSIjMzM4YWYzIiBkPSJNMTMzLjcgNTEyVjBIMHY1MTJ6Ii8+PHBhdGggZmlsbD0iIzZkYTU0NCIgZD0iTTUxMiAwSDM3OC41djUxMkg1MTJ6TTIwMC40IDMyMi44IDE1NiAyNTZsNDQuNS02Ni44IDQ0LjcgNjYuOHptMTExLjQgMEwyNjcuMSAyNTZsNDQuNi02Ni44IDQ0LjUgNjYuOHptLTU1LjcgODlMMjExLjYgMzQ1bDQ0LjUtNjYuNyA0NC41IDY2Ljd6Ii8+PC9nPjwvc3ZnPg=="
Tuvalu,127 ,-196 ,-69 ,196 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMzMzhhZjMiIGQ9Ik0wIDI1NiAyNTYgMGgyNTZ2NTEySDB6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTAgMGgzMy40bDMyIDE2LjlMMTAwLjMgMEgyNTZ2MzMuNGwtMTQuOCAzMy41IDE0LjggMzMuM3YzMy40bC05LjMgMzMuNyA5LjMgNDEuNXYxNS43bC02LjIgMTEuNkwyNTYgMjU2aC00Ny4ybC0zOS4zLTctMzUuOSA3LjEtMzMuNC0uMS0zMi42LTE2LjZMMzMuNCAyNTZIMFYxMDAuMmwxNC4yLTM1LjhMMCAzMy40eiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Im0yNTYgMjI0LjUtOTEtOTFoLTMxLjRMMjU2IDI1NnoiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJNMzMuNCAwdjMzLjRIMHY2Ni44aDMzLjRWMjU2aDY2LjhWMTAwLjJIMjU2VjMzLjRIMTAwLjJWMHoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJtMjc5LjQgNDIzIDUuNSAxN2gxOGwtMTQuNiAxMC41IDUuNiAxNy0xNC41LTEwLjUtMTQuNSAxMC41IDUuNi0xN0wyNTYgNDQwaDE3Ljl6bTE0Mi40LTExMS4zIDUuNSAxN2gxOGwtMTQuNSAxMC41IDUuNSAxNy0xNC41LTEwLjUtMTQuNSAxMC41IDUuNi0xNy0xNC41LTEwLjVoMTcuOXptMzUuNy0xNjcgNS41IDE3aDE4bC0xNC41IDEwLjUgNS42IDE3LTE0LjUtMTAuNS0xNC41IDEwLjUgNS42LTE3LTE0LjUtMTAuNUg0NTJ6bTguOCAxMjIuNCA1LjYgMTdoMTcuOGwtMTQuNCAxMC41IDUuNSAxNy0xNC41LTEwLjUtMTQuNCAxMC42IDUuNS0xNy0xNC41LTEwLjZoMTh6TTMwNSAzODNsMTYgOCAxMi42LTEyLjYtMi44IDE3LjcgMTYgOC4xTDMyOSA0MDdsLTIuOCAxNy43LTguMS0xNi0xNy43IDIuOCAxMi43LTEyLjZ6bTAtNjYuOCAxNiA4LjEgMTIuNi0xMi42LTIuOCAxNy42IDE2IDguMS0xNy43IDIuOC0yLjggMTcuNy04LjEtMTYtMTcuNyAyLjkgMTIuNy0xMi43em01NS43IDQyLjggMTYgOC4xIDEyLjYtMTIuNi0yLjggMTcuNiAxNiA4LjEtMTcuOCAyLjgtMi43IDE3LjctOC4yLTE2LTE3LjYgMi45IDEyLjYtMTIuN3ptMC0xNDMgMTYgOC4xIDEyLjYtMTIuNi0yLjggMTcuNiAxNiA4LjItMTcuOCAyLjgtMi43IDE3LjYtOC4yLTE2LTE3LjYgMi45IDEyLjYtMTIuN3ptNTQtMS43IDE1LjkgOC4xIDEyLjYtMTIuNi0yLjggMTcuNiAxNiA4LjEtMTcuNyAyLjgtMi44IDE3LjctOC4xLTE2LTE3LjggMyAxMi43LTEyLjd6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTE4MC44IDEzMy42SDI1NnY3NS4yem0tNDcuMiA0Ny4ydjc1LjNsNzUuMi0uMXoiLz48L2c+PC9zdmc+"
Aruba,124 ,-2394 ,-2270 ,2394 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Im0wIDMyMi44IDI1My42LTE4LjRMNTEyIDMyMi44djMzLjRsLTI1OCAxNS4zTDAgMzU2LjJ6bTAgNjYuOCAyNTcuMi0xMy44TDUxMiAzODkuNlY0MjNsLTI1MyAxNi45TDAgNDIzeiIvPjxwYXRoIGZpbGw9IiMzMzhhZjMiIGQ9Ik0wIDBoNTEydjMyMi44SDB6bTAgMzU2LjJoNTEydjMzLjRIMHpNMCA0MjNoNTEydjg5SDB6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0ibTExNy4zIDE2MS41LTUwLTIyLjEgNTAtMjIgMjItNTAuMSAyMi4yIDUwIDUwIDIyLTUwIDIyLjItMjIuMSA1MHoiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJtMTM5LjQgOTQuOSAxMy42IDMwLjkgMzEgMTMuNi0zMSAxMy42LTEzLjYgMzEtMTMuNi0zMS0zMS0xMy42IDMxLTEzLjZ6Ii8+PC9nPjwvc3ZnPg=="
Saint Kitts and Nevis,113 ,-591 ,-478 ,591 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Im0wIDQwMS45IDE3My42LTIyNS4zTDQwMS45IDBINDQ5bDYzIDYzLS4xIDQ3LjMtMTY3LjMgMjIzLjVMMTEwLjMgNTEySDYzTDAgNDQ5eiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0wIDB2NDAxLjlMNDAxLjkgMHoiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJNNTEyIDUxMlYxMTAuM0wxMTAuMyA1MTJ6Ii8+PHBhdGggZmlsbD0iIzMzMyIgZD0iTTAgNTEyaDYzTDUxMiA2M1YwaC02M0wwIDQ0OXoiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJtMTYyLjggMzAyIDI0IDEyLjIgMTktMTktNC40IDI2LjUgMjQgMTIuMi0yNi42IDQuMi00LjIgMjYuNS0xMi0yNEwxNTYgMzQ1bDE5LTE5ek0zMDIgMTYyLjhsMjQgMTIuMSAxOS0xOS00LjMgMjYuNiAyNCAxMi4xLTI2LjYgNC4yLTQuMiAyNi41LTEyLjItMjMuOS0yNi41IDQuMiAxOS0xOXoiLz48L2c+PC9zdmc+"
Samoa,99 ,-957 ,-859 ,957 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDI1NiAyNTYgMGgyNTZ2NTEySDB6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTAgMGgyNTZ2MjU2SDB6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0ibTIwNSAxNjcgNC4yIDEyLjdoMTMuNGwtMTAuOCA3LjkgNC4xIDEyLjctMTAuOC03LjgtMTAuOSA3LjggNC4xLTEyLjctMTAuOC03LjloMTMuNHpNMTM3LjggNjYuOGw3IDIxLjJIMTY3bC0xOC4xIDEzLjIgNi45IDIxLjItMTguMS0xMy4xLTE4IDEzLjEgNi44LTIxLjItMTgtMTMuMmgyMi4zek0yMDQuNSA4OWw2LjkgMjEuM2gyMi4zbC0xOCAxMy4xIDYuOSAyMS4zLTE4LjEtMTMuMS0xOC4xIDEzLjEgNy0yMS4zLTE4LjItMTMuMWgyMi40em0tNTIuOCA4OSA2LjkgMjEuM0gxODFsLTE4LjEgMTMuMiA2LjkgMjEuMi0xOC4xLTEzLjEtMTggMTMuMSA2LjgtMjEuMi0xOC0xMy4yaDIyLjN6bS01OC41LTU1LjYgNi45IDIxLjNoMjIuM2wtMTggMTMuMSA2LjkgMjEuMy0xOC4xLTEzLjJMNzUgMTc4LjFsNi45LTIxLjMtMTgtMTMuMWgyMi4zeiIvPjwvZz48L3N2Zz4="
